GeoRegion,id,Operators,Domicile,Country,EconRegion,Growth_1Yr,Growth_2Yrs,Growth_3Yrs,Growth_4Yrs,Growth_5Yrs,Growth_10Yrs,entrytime,Admin,Demographics,Economic,Financial,Geographic,Global_Connected,Knowledge,Political,Brand_Val,Enterprise_Val,BV_div_EV,Brand_Rat_3cat,Nos_Countries,Large_Govt_Share,Major_Share,Operato_Age,Multinational,Nos_Empl,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI_Index,Econ_Glob,Social_Glob,Political_Glob,Overall_Glob,GII_Input,GII_Output,GII_Overall,PR,CL,Ethnic_Frac,Linguistic_Frac,Religious_Frac,Power_Distance,Individualism,Masculinity,UA,Longtrem,Indulgence_Restraint,G3,opertype
1,4,Axiata,Malaysia,Sri Lanka,3,1.08,0.98,0.85,0.78,0.74,0.41,6.25,1.864,1.714,9.316,5.482,3.5293,2.91,0.003,7.9775,0.76,10.87,0.07,1,7,1,45.09,26,0,25,2.825,18.942,4.6,0.686,297.48,18.443,40.25,46.93,39.29,72.99,51.3,33.2,27.53,30.36,5,4,0.415,0.465,0.485,80,35,10,45,45,15.25,1,0
1,4,Axiata,Malaysia,Bangladesh,3,0.69,0.6,.,.,.,.,13.26,40.454,1.374,15.453,5.923,3.4041,3.478,0.005,7.4505,0.76,10.87,0.07,1,7,1,45.09,26,0,25,5.006,133.556,1.79,0.468,1010.842,23.59,32.13,28.06,22.61,75.1,39.02,29.64,26.47,28.05,3,4,0.045,0.093,0.209,80,20,55,60,47.1,19.64,1,0
1,4,Axiata,Malaysia,Malaysia,2,1.61,0.97,0.92,0.79,0.7,0.5,4.75,0,0,0,0,0,0,0,0,0.76,10.87,0.07,1,7,1,45.09,26,0,25,2.669,23.673,14.18,0.587,70.569,61.977,46.05,74.62,75.14,79.19,76.07,52.94,35.17,44.05,4,4,0.588,0.597,0.666,104,26,50,36,40.81,57.14,1,0
1,4,Axiata,Malaysia,Nepal,4,1.47,1.28,1.18,1.06,.,.,10.25,5.148,2.426,12.837,5.177,4.1503,3.625,.,7.7861,0.76,10.87,0.07,1,7,1,45.09,26,0,25,10,23.42,1.78,0.446,165.615,13.431,44,24.01,25.32,69.37,37,31.83,15.74,23.79,4,4,0.663,0.717,0.142,65,30,40,40,.,.,1,0
1,4,Axiata,Malaysia,Cambodia,3,1.05,1.15,1.05,.,.,.,11,11.226,6.305,7.218,.,1.4314,3.042,.,2.4324,0.76,10.87,0.07,1,7,1,45.09,26,0,25,5.921,12.348,1.76,0.412,68.844,18.586,39.5,62.92,22.49,57.67,46.54,31.24,19.68,25.46,6,5,0.211,0.21,0.097,.,.,.,.,.,.,1,0
1,4,Axiata,Malaysia,Cambodia,3,1.04,.,.,.,.,.,8.5,11.226,6.305,7.218,.,1.4314,3.042,.,2.4324,0.76,10.87,0.07,1,7,1,45.09,26,0,25,5.921,12.348,1.76,0.412,68.844,18.586,39.5,62.92,22.49,57.67,46.54,31.24,19.68,25.46,6,5,0.211,0.21,0.097,.,.,.,.,.,.,1,0
1,4,Axiata,Malaysia,Indonesia,3,.,.,.,.,.,.,5.05,41.51,0.442,6.861,3.183,5.4656,4.245,0.029,28.6,0.76,10.87,0.07,1,7,1,45.09,26,0,25,3.215,239.082,5.19,0.656,132.118,49.124,34.11,59.36,33.54,85.28,56.97,33.57,21.99,27.78,2,3,0.735,0.768,0.234,78,14,46,48,61.96,37.72,0,0
1,4,Axiata,Malaysia,Malaysia,2,1.33,1.03,.,.,.,.,3.55,0,0,0,0,0,0,0,0,0.76,10.87,0.07,1,7,1,45.09,26,0,25,3.175,28.033,17.89,0.653,84.022,70.075,46.26,75.09,76.46,83.15,77.82,52.94,35.17,44.05,4,4,0.588,0.597,0.666,104,26,50,36,40.81,57.14,0,0
1,4,Axiata,Malaysia,Cambodia,3,1.6,.,.,.,.,.,4.3,11.226,2.807,1.406,.,3.0841,5.147,.,28.6,0.76,10.87,0.07,1,7,1,45.09,26,0,25,2.538,14.255,2.82,0.519,79.822,19.666,34.65,62.29,22.2,57.75,46.24,31.24,19.68,25.46,6,5,0.211,0.21,0.097,.,.,.,.,.,.,0,0
1,4,Axiata,Malaysia,Bhutan,3,1.6,.,.,.,.,.,4.05,5.123,1.354,1.766,.,1.6075,3.483,.,28.6,0.76,10.87,0.07,1,7,1,45.09,26,0,25,6.816,0.711,5.14,0.572,18.744,34.01,38.81,54.2,31.91,21.98,37.08,39.76,23.89,31.8,4,5,0.605,0.606,0.379,94,52,32,28,.,.,0,0
1,4,Axiata,Malaysia,Sri Lanka,3,1.33,1.14,.,.,.,.,3.3,1.864,1.905,5.205,3.889,1.5104,3.654,0.023,28.6,0.76,10.87,0.07,1,7,1,45.09,26,0,25,3.008,20.68,6.05,0.739,318.418,18.333,36.39,39.81,41.27,74.53,49.92,33.2,27.53,30.36,5,4,0.415,0.465,0.485,80,35,10,45,45,15.25,0,0
1,5,Beeline (VimpelCom),Russia,Kazakhstan,2,0.88,0.75,0.67,0.61,.,.,10.5,0.436,2.971,1.317,0.016,2.4471,6.616,0.26,31,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,4.294,14.567,7.64,0.685,5.513,55.729,28.8,64.25,42.82,65.7,56.74,39.86,20.77,30.32,6,5,0.617,0.662,0.59,.,.,.,.,.,.,1,0
1,5,Beeline (VimpelCom),Russia,Laos,3,0.64,0.51,0.4,.,.,.,11.5,.,13.815,3.806,.,4.6931,17.434,.,26.2466,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,10,5.429,1.78,0.55,23.091,21.977,37.89,47.62,24.35,37.04,29.78,44.76,30.28,37.52,7,6,0.514,0.638,0.545,67,20,37,47,44.46,40.29,1,0
2,5,Beeline (VimpelCom),Russia,Russian Federation,2,1.71,1.01,0.77,0.65,0.56,.,8,0,0,0,0,0,0,0,0,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,2.03,146.467,8.31,0.72,8.949,73.35,41.54,52.21,69.35,91.71,69.43,40.79,30.91,35.85,6,5,0.245,0.249,0.44,93,39,36,95,81.36,19.87,1,0
1,5,Beeline (VimpelCom),Russia,Tajikistan,3,0.88,0.72,0.59,0.57,0.51,.,6.25,1.12,14.566,9.731,.,3.0911,10.029,.,25.3069,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,8.214,6.238,1.9,0.535,44.414,26.486,32.19,43.66,25.42,37.36,35.19,27.64,23.3,24.5,6,6,0.511,0.547,0.339,.,.,.,.,.,.,1,0
1,5,Beeline (VimpelCom),Russia,Uzbekistan,3,1.05,0.86,0.76,0.69,0.64,.,8.25,11.782,11.453,1.105,.,3.2439,.,0.252,31,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,2.577,24.964,1.48,0.594,57.946,37.429,35,40.69,38.2,44.04,40.69,33.23,14.65,23.94,7,7,0.413,0.412,0.213,.,.,.,.,.,.,1,0
1,5,Beeline (VimpelCom),Russia,Armenia,3,0.93,0.82,0.72,0.66,0.63,.,9,22.404,4.651,7.466,1.117,4.3498,6.952,0.075,31,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,10,3.068,0.62,0.644,107.818,64.666,29.58,63.49,44.12,48.92,52.32,37.1,28.9,33,6,4,0.127,0.129,0.458,.,.,.,.,60.96,21.65,1,0
2,5,Beeline (VimpelCom),Russia,Russian Federation,2,1.37,.,.,.,.,.,3.8,0,0,0,0,0,0,0,0,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,2.324,143.654,13.41,0.773,8.719,73.642,39.69,51.67,68.89,92.73,69.35,40.79,30.91,35.85,6,5,0.245,0.249,0.44,93,39,36,95,81.36,19.87,0,0
