GeoR,Operators,Domicile,Country,EconR,EntryTimes,dev_operator,Admin,Demographics,Geographic,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI,EconGlob,SocialGlob,PoliticalGlob,OverallGlob,GIIInput,GIIOutput,GIIOverall,PR,CL,EthnicFrac,LinguisticFrac,ReligiousFrac,G3
4,Claro (América Móvil),Mexico,Honduras,3,7.5,1,5.118,2.551,10.319,10,6.3,3.06,0.557,58.31,45.458,51.56,65.44,44.58,69.24,58.79,33.08,22.53,27.81,4,4,0.187,0.055,0.236,1
2,Deutsche Telekom,Germany,Austria,1,3.25,1,20.846,0.13,0.5157,3.654,8.035,31.57,0.837,97.016,65.8,29.87,87.03,90.25,96.58,90.85,59.28,42.21,50.75,1,1,0.107,0.152,0.415,1
2,Deutsche Telekom,Germany,Croatia,1,4.75,1,35.458,0.915,0.8089,5.01,4.461,7.56,0.749,79.163,55.587,30,70.5,70.44,78.17,72.59,45,30.96,37.98,2,2,0.369,0.076,0.445,1
2,Deutsche Telekom,Germany,Netherlands,1,5.5,1,10.955,1.049,0.2794,3.158,15.905,31.93,0.878,471.727,76.795,30.74,94.12,88.43,91.17,91.2,60.42,52.2,56.31,1,1,0.105,0.514,0.722,1
2,Deutsche Telekom,Germany,Czech Republic,1,9.25,1,30.974,1.481,0.4818,4.401,10.241,8.82,0.821,132.717,73.988,27.5,85.09,79.89,84.7,83.06,53.11,41.49,47.3,1,1,0.322,0.323,0.659,1
2,Deutsche Telekom,Germany,Germany,1,4,1,0,0,0,3.448,83.548,29.05,0.86,235.597,73.067,28.5,83.28,84.73,89.05,85.41,59.04,50.74,54.89,1,1,0.168,0.164,0.657,1
2,Deutsche Telekom,Germany,Slovakia,1,5.5,1,20.317,3.647,0.7966,5.062,5.388,11.84,0.763,112.032,56.233,29.33,88.05,82.18,80.78,83.88,48.27,29.83,39.05,1,1,0.254,0.255,0.566,1
2,Deutsche Telekom,Germany,Poland,1,5,1,9.839,2.568,0.7697,3.578,38.333,10.83,0.784,124.91,61.716,34.49,67.24,77.44,92.62,78.01,46.29,29.74,38.02,1,1,0.118,0.047,0.171,1
4,Digicel,Jamaica,Panama,2,11.25,0,9.269,4.635,1.0646,5.087,3.086,7.12,0.721,40.763,62.198,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,1
4,Digicel,Jamaica,El Salvador,3,13.5,0,4.45,0.863,1.3163,3.583,5.972,5.19,0.615,283.187,58.912,45.93,63.93,52.99,77.57,63.65,34.6,23.67,29.14,2,3,0.198,0,0.356,1
4,Digicel,Jamaica,Jamaica,2,11.25,0,0,0,0,10,2.594,7.88,0.68,245.324,51.814,45,73.83,44.44,68.53,61.52,38.89,18.87,28.88,2,3,0.413,0.11,0.616,1
3,Digicel,Jamaica,Papua New Guinea,3,10.75,0,4.097,5.377,15.0231,10,5.449,2.19,0.422,12.305,13.204,52.5,65.34,22.01,58.47,47.45,32.93,26.8,29.87,4,3,0.272,0.353,0.552,1
3,Digicel,Jamaica,Vanuatu,3,11.25,0,1.418,2.295,13.2083,10,0.187,5.61,0.572,15.182,21.673,37.3,62.95,32.76,27.75,42.1,35.75,34.02,34.89,2,2,0.041,0.579,0.704,1
4,Digicel,Jamaica,Grenada,2,13.75,0,5.091,2.098,1.8318,10,0.102,14.12,0.741,298.879,35.871,51.85,53.14,52.4,31.34,44.3,34.95,29.64,32.29,1,2,0.266,0,0.59,1
4,Digicel,Jamaica,Haiti,4,11.25,0,8.065,2.032,0.5427,5.041,8.649,1.66,0.443,310.203,35.6,40.9,49.96,26.35,41.57,38.93,30.63,14.23,22.43,4,5,0.095,0,0.47,1
3,Digicel,Jamaica,Fiji,2,11.75,0,0.987,3.072,12.4261,10,0.813,5.78,0.683,44.402,47.908,42.78,47.59,50.1,66.56,53.75,36.96,18.87,27.92,6,4,0.548,0.548,0.568,1
4,Digicel,Jamaica,Suriname,2,13.75,0,20.121,4.025,2.8281,10,0.47,7.49,0.672,3.028,66.444,57.6,60.24,53.96,34.7,50.88,34.95,29.64,32.29,2,2,0.733,0.331,0.791,1
4,Digicel,Jamaica,Barbados,1,11,0,0.125,2.91,2.0056,10,0.268,23.08,0.75,627.551,33.83,39.73,48.65,51.91,36.37,46.47,38.64,24.49,31.56,1,1,0.294,0.146,0.683,1
5,Econet Wireless,Zimbabwe,Burundi,4,14.5,0,12.489,5.228,1.8369,6.907,6.757,0.71,0.268,249.249,8.246,40,26.26,18.98,32.87,25.39,30.63,14.23,22.43,5,5,0.295,0.298,0.516,1
5,Econet Wireless,Zimbabwe,Burundi,4,11,0,12.489,5.228,1.8369,6.907,6.757,0.71,0.268,249.249,8.246,40,26.26,18.98,32.87,25.39,30.63,14.23,22.43,5,5,0.295,0.298,0.516,1
5,Econet Wireless,Zimbabwe,Zimbabwe,4,9,0,0,0,0,3.572,12.545,4.53,0.427,31.594,33.758,43.15,39.41,30.43,70.2,44.58,26.82,20.26,23.54,5,6,0.387,0.447,0.736,1
2,Elisa,Finland,Estonia,1,6.25,1,123.458,2.406,0.5566,4.219,1.361,10.4,0.781,32.956,69.368,33.5,89.73,71.3,65.76,76.32,54.86,43.5,49.18,1,1,0.506,0.494,0.499,1
2,Elisa,Finland,Finland,1,5.5,1,0,0,0,5.242,5.182,26.4,0.856,16.994,82.183,27.9,86.97,84.9,93.33,87.96,55.61,50.29,57.5,1,1,0.132,0.141,0.253,1
4,Entel,Chile,Chile,1,6.25,0,0,0,0,3.034,15.547,9.46,0.761,20.527,86.073,48.2,83.22,53.95,86.03,73.19,48.09,29.6,38.84,1,1,0.186,0.187,0.384,1
4,Entel,Chile,Peru,2,9.25,0,3.116,0.416,2.2863,5.293,26.186,4.98,0.677,20.246,73.042,47.96,74.14,43.41,84.1,65.54,39.06,21.63,30.34,2,3,0.657,0.336,0.199,1
4,Entel,Chile,Bolivia,3,10.75,0,2.892,2.254,1.5708,4.907,8.582,3.35,0.607,7.698,61.834,49.7,55.95,34.24,76.98,53.73,30.37,20.51,25.44,3,3,0.74,0.224,0.209,1
1,Etisalat,UAE,Sri Lanka,3,6.5,1,1.846,8.624,3.4474,2.825,18.942,4.6,0.686,297.48,18.443,40.25,46.93,39.29,72.99,51.3,33.2,27.53,30.36,5,4,0.415,0.465,0.485,1
5,Etisalat,UAE,Nigeria,3,12.26,1,1.248,22.549,5.1129,10,124.441,1.28,0.445,134.339,34.84,42.97,52,19.82,87.95,50.03,27.72,28.58,28.15,4,4,0.851,0.832,0.742,1
5,Etisalat,UAE,Egypt,3,6.75,1,2.421,21.195,2.4309,5.055,66.67,4.69,0.612,70.226,42.797,31.1,46.9,46.13,93.23,59.39,35.08,23.34,29.21,6,5,0.184,0.024,0.198,1
1,Etisalat,UAE,Afghanistan,4,11.5,1,0.673,30.603,1.4686,10,20.972,0.33,0.34,30.778,21.282,27.8,34.5,16.49,43.73,30.4,23.03,16.25,19.64,6,6,0.769,0.614,0.272,1
1,Etisalat,UAE,United Arab Emirates,1,3.5,1,0,0,0,10,3.079,38.6,0.798,37.738,80.236,39.73,77.87,81.54,46.16,70.48,54.38,29.61,41.99,6,6,0.625,0.487,0.331,1
5,Expresso,Senegal,Ghana,3,10.25,0,8.391,1.497,1.4711,4.03,19.059,1.36,0.485,83.233,43.929,42.2,51.69,28.37,84.23,52.05,39.84,25.12,32.48,1,2,0.673,0.673,0.799,1
5,Expresso,Senegal,Senegal,4,8.5,0,0,0,0,5.599,9.99,1.73,0.381,51.338,40.345,40.29,47.05,34.16,87.18,53.35,30.73,24.38,27.56,2,3,0.694,0.708,0.15,1
4,Flow (Liberty Global),Jamaica,Jamaica,2,8.75,0,0,0,0,10,2.594,7.88,0.68,245.324,51.814,45,73.83,44.44,68.53,61.52,38.89,18.87,28.88,2,3,0.413,0.11,0.616,1
4,Flow (Liberty Global),Jamaica,Antigua and Barbuda,1,12.26,0,3.571,2.473,1.6704,3.805,0.078,14.52,0.773,189.964,32.127,39.73,71.91,56.57,17.88,40.03,38.64,24.49,31.56,2,2,0.164,0.106,0.684,1
4,Flow (Liberty Global),Jamaica,Barbados,1,11.25,0,0.125,2.91,2.0056,10,0.268,23.08,0.75,627.551,33.83,39.73,48.65,51.91,36.37,46.47,38.64,24.49,31.56,1,1,0.294,0.146,0.683,1
2,MegaFon,Russia,Russian Federation,2,8.25,0,0,0,0,2.03,146.467,8.31,0.72,8.949,73.35,41.54,52.21,69.35,91.71,69.43,40.79,30.91,35.85,6,5,0.245,0.249,0.44,1
1,MegaFon,Russia,Tajikistan,3,5.5,0,1.12,14.566,3.0911,8.214,6.238,1.9,0.535,44.414,26.486,32.19,43.66,25.42,37.36,35.19,27.64,23.3,24.5,6,6,0.511,0.547,0.339,1
1,MegaFon,Russia,Georgia,2,8.25,0,9.855,3.441,4.2661,4.232,4.713,4.31,0.673,77.3,52.638,39.7,63.85,50.83,42.65,53.2,38.54,25.2,31.87,4,4,0.492,0.475,0.654,1
1,MegaFon,Russia,Georgia,2,11,0,9.855,3.441,4.2661,4.232,4.713,4.31,0.673,77.3,52.638,39.7,63.85,50.83,42.65,53.2,38.54,25.2,31.87,4,4,0.492,0.475,0.654,1
5,Moov,Morocco,Benin,4,13.5,0,3.595,6.133,2.6141,4.924,7.062,1.34,0.395,60.89,38.333,38.2,30.72,20.98,60.77,35.41,30.28,18.13,24.21,2,2,0.787,0.791,0.554,1
5,Moov,Morocco,Ivory Coast,3,12.5,0,3.668,7.236,2.6719,4.942,16.276,2.76,0.395,52.473,43.541,41,38,32.84,66.23,43.88,28.01,26.04,27.02,5,4,0.82,0.784,0.755,1
4,Movistar (Telefónica),Spain,Panama,2,8.25,1,7.658,8.769,8.1855,5.087,3.086,7.12,0.721,40.763,62.198,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,1
4,Movistar (Telefónica),Spain,Costa Rica,2,11.25,1,6.846,10.711,8.4564,10,3.972,5.01,0.708,76.879,59.049,50.97,66.21,61.94,59.45,62.77,42.22,33.6,37.91,1,1,0.237,0.049,0.241,1
4,Movistar (Telefónica),Spain,Ecuador,2,8.75,1,7.827,9.068,8.7678,5.03,12.657,4.89,0.67,50.848,60.299,54.1,52,45.76,78.24,56.93,32.57,24.94,28.75,3,3,0.655,0.131,0.142,1
4,Movistar (Telefónica),Spain,Guatemala,3,5,1,6.846,11.769,8.6044,3.444,11.342,5.53,0.546,108.723,45.127,54.9,57.47,43.13,77.7,57.75,33.18,25.49,29.33,4,4,0.512,0.459,0.375,1
4,Movistar (Telefónica),Spain,Argentina,2,7,1,7.89,3.848,10.287,2.686,37.088,12.52,0.771,13.541,89.142,45.27,40.84,52.7,92.34,59.42,37.29,33.44,35.36,2,2,0.255,0.062,0.224,1
4,Movistar (Telefónica),Spain,Chile,1,7.5,1,3.383,7.913,10.4165,3.034,15.547,9.46,0.761,20.527,86.073,48.2,83.22,53.95,86.03,73.19,48.09,29.6,38.84,1,1,0.186,0.187,0.384,1
4,Movistar (Telefónica),Spain,Colombia,2,7.5,1,7.704,9.859,7.867,4.93,40.228,7.64,0.653,36.416,72.075,55.9,49.64,46.88,79.63,56.89,38.72,25.92,32.32,3,4,0.601,0.019,0.148,1
4,Movistar (Telefónica),Spain,Nicaragua,3,8.25,1,4.756,14.455,8.3329,10,5.139,2.06,0.57,41.772,54.737,45.73,59.02,44.98,56.79,53.22,31.13,20.44,25.78,4,3,0.484,0.047,0.429,1
4,Movistar (Telefónica),Spain,Peru,2,8.75,1,7.426,9.359,9.2427,5.293,26.186,4.98,0.677,20.246,73.042,47.96,74.14,43.41,84.1,65.54,39.06,21.63,30.34,2,3,0.657,0.336,0.199,1
4,Movistar (Telefónica),Spain,El Salvador,3,10.25,1,7.741,13.401,8.6074,3.583,5.972,5.19,0.615,283.187,58.912,45.93,63.93,52.99,77.57,63.65,34.6,23.67,29.14,2,3,0.198,0,0.356,1
4,Movistar (Telefónica),Spain,Uruguay,2,7,1,14.121,2.261,9.7296,0.00506,3.324,11.43,0.742,18.976,92.028,47,61.9,54.07,80.05,64.01,40.26,29.27,34.76,1,1,0.482,0.304,0.437,1
2,Movistar (Telefónica),Spain,Spain,1,4,1,0,0,0,4.212,40.52,24.95,0.825,81.298,76.262,33.38,80.62,83.4,91.44,84.63,52.43,35.19,43.81,1,1,0.417,0.413,0.451,1
4,Movistar (Telefónica),Spain,Venezuela,2,5.25,1,8.414,10.138,7.0737,4.962,24.639,10.55,0.672,27.763,87.98,52.36,57.05,51,65.41,57.12,29.48,25.35,27.41,5,4,0.497,0.069,0.135,1
4,Movistar (Telefónica),Spain,Mexico,2,8.25,1,13.791,9.825,9.0397,6.18,104.607,10.34,0.7,52.326,74.722,51.11,59.84,52.78,69.61,59.93,37.47,23.42,30.45,3,3,0.542,0.151,0.18,1
5,MTN,South Africa,Uganda,4,12.26,0,2.765,13.683,3.4469,8.105,24.682,1.09,0.396,120.311,12.082,44.2,48.66,22.76,71.86,45.49,29.86,22.87,26.37,5,4,0.93,0.923,0.633,1
